Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
47,Exit short,2026-07-31 22:52,Short X,4101.4,1,41034,18.76,0.05,1.24,19.38,0.05,-58.62,-0.14,1250.72,0.13,24
47,Entry short,2026-07-31 22:04,Short,4103.4,1,41034,18.76,0.05,1.24,19.38,0.05,-58.62,-0.14,1250.72,0.13,24
48,Exit long,2026-08-05 02:30,Long X,4135.8,1,41338,18.76,0.05,1.24,19.38,0.05,-18.62,-0.05,1269.48,0.13,4
48,Entry long,2026-08-05 02:22,Long,4133.8,1,41338,18.76,0.05,1.24,19.38,0.05,-18.62,-0.05,1269.48,0.13,4
49,Exit short,2026-08-05 21:34,Short X,4309.3,1,43123,28.76,0.07,1.24,29.38,0.07,-45.62,-0.11,1298.24,0.13,8
49,Entry short,2026-08-05 21:18,Short,4312.3,1,43123,28.76,0.07,1.24,29.38,0.07,-45.62,-0.11,1298.24,0.13,8
50,Exit long,2026-08-07 01:18,Long X,4304.5,1,43026,17.76,0.04,1.24,18.38,0.04,-9.62,-0.02,1316,0.13,6
50,Entry long,2026-08-07 01:06,Long,4302.6,1,43026,17.76,0.04,1.24,18.38,0.04,-9.62,-0.02,1316,0.13,6
51,Exit short,2026-08-07 02:16,Short X,4299.9,1,43022,21.76,0.05,1.24,22.38,0.05,-26.62,-0.06,1337.76,0.13,2
51,Entry short,2026-08-07 02:12,Short,4302.2,1,43022,21.76,0.05,1.24,22.38,0.05,-26.62,-0.06,1337.76,0.13,2
52,Exit long,2026-08-07 03:42,Long X,4311.6,1,43076,38.76,0.09,1.24,39.38,0.09,-104.62,-0.24,1376.52,0.14,11
52,Entry long,2026-08-07 03:20,Long,4307.6,1,43076,38.76,0.09,1.24,39.38,0.09,-104.62,-0.24,1376.52,0.14,11
53,Exit long,2026-08-07 21:10,Long X,4405.5,1,44026,27.76,0.06,1.24,28.38,0.06,-38.62,-0.09,1404.28,0.14,5
53,Entry long,2026-08-07 21:00,Long,4402.6,1,44026,27.76,0.06,1.24,28.38,0.06,-38.62,-0.09,1404.28,0.14,5
54,Exit short,2026-08-07 22:30,Short X,4395.4,1,43978,22.76,0.05,1.24,23.38,0.05,-15.62,-0.04,1427.04,0.14,4
54,Entry short,2026-08-07 22:22,Short,4397.8,1,43978,22.76,0.05,1.24,23.38,0.05,-15.62,-0.04,1427.04,0.14,4
55,Exit long,2026-08-12 02:18,Long X,4438.9,1,44361,26.76,0.06,1.24,27.38,0.06,-28.62,-0.06,1453.8,0.15,3
55,Entry long,2026-08-12 02:12,Long,4436.1,1,44361,26.76,0.06,1.24,27.38,0.06,-28.62,-0.06,1453.8,0.15,3
56,Exit long,2026-08-12 20:24,Long X,4470.9,1,44684,23.76,0.05,1.24,24.38,0.05,-2.62,-0.01,1477.56,0.15,2
56,Entry long,2026-08-12 20:20,Long,4468.4,1,44684,23.76,0.05,1.24,24.38,0.05,-2.62,-0.01,1477.56,0.15,2
57,Exit short,2026-08-12 22:18,Short X,4467.7,1,44697,18.76,0.04,1.24,19.38,0.04,-49.62,-0.11,1496.32,0.15,15
57,Entry short,2026-08-12 21:48,Short,4469.7,1,44697,18.76,0.04,1.24,19.38,0.04,-49.62,-0.11,1496.32,0.15,15
