Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
276,Entry short,2026-09-01 09:10,enter_short,4478.7,1,44787,128.76,0.29,1.24,129.38,0.29,-36.62,-0.08,20876.76,41.75,5
277,Exit short,2026-09-01 20:10,flatten,4383.6,1,44100,262.76,0.60,1.24,263.38,0.60,-134.62,-0.31,21139.52,42.28,40
277,Entry short,2026-09-01 16:50,enter_short,4410,1,44100,262.76,0.60,1.24,263.38,0.60,-134.62,-0.31,21139.52,42.28,40
278,Exit short,2026-09-02 03:05,flatten,4352.6,1,43691,163.76,0.37,1.24,164.38,0.38,-118.62,-0.27,21303.28,42.61,11
278,Entry short,2026-09-02 02:10,enter_short,4369.1,1,43691,163.76,0.37,1.24,164.38,0.38,-118.62,-0.27,21303.28,42.61,11
279,Exit short,2026-09-02 11:25,flatten,4354.5,1,43695,148.76,0.34,1.24,149.38,0.34,-39.62,-0.09,21452.04,42.90,11
279,Entry short,2026-09-02 10:30,enter_short,4369.5,1,43695,148.76,0.34,1.24,149.38,0.34,-39.62,-0.09,21452.04,42.90,11
280,Exit short,2026-09-02 13:10,flatten,4370.9,1,43559,-151.24,-0.35,1.24,66.38,0.15,-150.62,-0.35,21300.8,42.60,20
280,Entry short,2026-09-02 11:30,enter_short,4355.9,1,43559,-151.24,-0.35,1.24,66.38,0.15,-150.62,-0.35,21300.8,42.60,20
281,Exit long,2026-09-02 14:25,flatten_trail,4381.2,1,43692,118.76,0.27,1.24,221.38,0.51,-3.62,-0.01,21419.56,42.84,11
281,Entry long,2026-09-02 13:30,enter_long_rev,4369.2,1,43692,118.76,0.27,1.24,221.38,0.51,-3.62,-0.01,21419.56,42.84,11
282,Exit short,2026-09-02 21:55,flatten,4438.2,1,44170,-213.24,-0.48,1.24,61.38,0.14,-212.62,-0.48,21206.32,42.41,54
282,Entry short,2026-09-02 17:25,enter_short,4417,1,44170,-213.24,-0.48,1.24,61.38,0.14,-212.62,-0.48,21206.32,42.41,54
283,Exit long,2026-09-03 02:55,flatten,4439.6,1,44308,86.76,0.20,1.24,87.38,0.20,-32.62,-0.07,21293.08,42.59,14
283,Entry long,2026-09-03 01:45,enter_long,4430.8,1,44308,86.76,0.20,1.24,87.38,0.20,-32.62,-0.07,21293.08,42.59,14
284,Exit long,2026-09-03 14:30,flatten,4497.3,1,44771,200.76,0.45,1.24,201.38,0.45,-119.62,-0.27,21493.84,42.99,65
284,Entry long,2026-09-03 09:05,enter_long,4477.1,1,44771,200.76,0.45,1.24,201.38,0.45,-119.62,-0.27,21493.84,42.99,65
285,Exit short,2026-09-04 09:30,EOD Exit,4519.9,1,45195,-5.24,-0.01,1.24,133.38,0.30,-94.62,-0.21,21488.6,42.98,70
285,Entry short,2026-09-04 03:40,enter_short,4519.5,1,45195,-5.24,-0.01,1.24,133.38,0.30,-94.62,-0.21,21488.6,42.98,70
286,Exit short,2026-09-04 14:30,flatten,4500.5,1,45131,124.76,0.28,1.24,125.38,0.28,-98.62,-0.22,21613.36,43.23,38
286,Entry short,2026-09-04 11:20,enter_short,4513.1,1,45131,124.76,0.28,1.24,125.38,0.28,-98.62,-0.22,21613.36,43.23,38
