Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
211,Entry long,2026-08-24 15:49,LS,29025,2,116100,-294.24,-0.25,1.24,18.38,0.02,-293.62,-0.25,-4202.64,-0.42,4
212,Exit short,2026-08-25 07:22,SL,29226.75,2,116815,-93.24,-0.08,1.24,9.38,0.01,-92.62,-0.08,-4295.88,-0.43,8
212,Entry short,2026-08-25 07:14,LS,29203.75,2,116815,-93.24,-0.08,1.24,9.38,0.01,-92.62,-0.08,-4295.88,-0.43,8
213,Exit short,2026-08-25 08:17,SL,29263.5,2,116991,-64.24,-0.05,1.24,24.38,0.02,-63.62,-0.05,-4360.12,-0.44,2
213,Entry short,2026-08-25 08:15,LS,29247.75,2,116991,-64.24,-0.05,1.24,24.38,0.02,-63.62,-0.05,-4360.12,-0.44,2
214,Exit short,2026-08-25 09:04,SL,29289.75,2,117046,-114.24,-0.10,1.24,100.38,0.09,-113.62,-0.10,-4474.36,-0.45,33
214,Entry short,2026-08-25 08:31,LS,29261.5,2,117046,-114.24,-0.10,1.24,100.38,0.09,-113.62,-0.10,-4474.36,-0.45,33
215,Exit long,2026-08-25 16:30,SL,29207.5,2,116985,-156.24,-0.13,1.24,23.38,0.02,-155.62,-0.13,-4630.6,-0.46,4
215,Entry long,2026-08-25 16:26,LS,29246.25,2,116985,-156.24,-0.13,1.24,23.38,0.02,-155.62,-0.13,-4630.6,-0.46,4
216,Exit short,2026-08-26 15:43,SL,29282.75,2,116874,-258.24,-0.22,1.24,37.38,0.03,-257.62,-0.22,-4888.84,-0.49,7
216,Entry short,2026-08-26 15:36,LS,29218.5,2,116874,-258.24,-0.22,1.24,37.38,0.03,-257.62,-0.22,-4888.84,-0.49,7
217,Exit short,2026-08-26 16:09,TP,29282,2,117233,103.76,0.09,1.24,104.38,0.09,-48.62,-0.04,-4785.08,-0.48,7
217,Entry short,2026-08-26 16:02,LS,29308.25,2,117233,103.76,0.09,1.24,104.38,0.09,-48.62,-0.04,-4785.08,-0.48,7
218,Exit long,2026-08-27 08:15,TP,29442.5,2,117687,81.76,0.07,1.24,82.38,0.07,-8.62,-0.01,-4703.32,-0.47,1
