Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
55,Entry long,2026-06-18 16:23,M4 Long,30629,1,61258,-126.24,-0.21,1.24,27.38,0.04,-125.62,-0.21,2787.3,0.28,4
56,Exit short,2026-06-22 00:00,M1 TP,30580.75,1,61339.5,176.76,0.29,1.24,177.38,0.29,-71.12,-0.12,2964.06,0.30,162
56,Entry short,2026-06-19 16:18,M1 Short,30669.75,1,61339.5,176.76,0.29,1.24,177.38,0.29,-71.12,-0.12,2964.06,0.30,162
57,Exit short,2026-06-22 15:42,M3 TP,30820,1,61799,157.76,0.26,1.24,158.38,0.26,-19.12,-0.03,3121.82,0.31,2
57,Entry short,2026-06-22 15:40,M3 Short,30899.5,1,61799,157.76,0.26,1.24,158.38,0.26,-19.12,-0.03,3121.82,0.31,2
58,Exit short,2026-06-22 15:57,M1 SL,30920,1,61739.5,-101.74,-0.16,1.24,53.38,0.09,-101.12,-0.16,3020.08,0.30,10
58,Entry short,2026-06-22 15:47,M1 Short,30869.75,1,61739.5,-101.74,-0.16,1.24,53.38,0.09,-101.12,-0.16,3020.08,0.30,10
59,Exit long,2026-06-22 16:15,M4 SL,30894,1,61885,-98.24,-0.16,1.24,49.88,0.08,-97.62,-0.16,2921.84,0.29,9
59,Entry long,2026-06-22 16:06,M4 Long,30942.5,1,61885,-98.24,-0.16,1.24,49.88,0.08,-97.62,-0.16,2921.84,0.29,9
60,Exit short,2026-06-23 16:01,M3 SL,29986.25,1,59747.5,-226.24,-0.38,1.24,11.88,0.02,-225.62,-0.38,2695.6,0.27,5
60,Entry short,2026-06-23 15:56,M3 Short,29873.75,1,59747.5,-226.24,-0.38,1.24,11.88,0.02,-225.62,-0.38,2695.6,0.27,5
61,Exit long,2026-06-24 15:32,M1 TP,29789.25,1,59408.5,168.76,0.28,1.24,169.38,0.29,-137.62,-0.23,2864.36,0.29,8
61,Entry long,2026-06-24 15:24,M1 Long,29704.25,1,59408.5,168.76,0.28,1.24,169.38,0.29,-137.62,-0.23,2864.36,0.29,8
62,Exit long,2026-06-24 15:48,M3 Break-even Exit,29635.25,1,59271.5,-2.24,0.00,1.24,157.88,0.27,-16.12,-0.03,2862.12,0.29,5
