Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
301,Entry long,2026-01-21 15:55,Long,25289.25,4,202314,240.76,0.12,1.24,241.38,0.12,-106.62,-0.05,12736.76,25.47,0
302,Exit long,2026-01-22 15:35,Long Bracket,25644.75,4,205700,-543.24,-0.26,1.24,217.38,0.11,-542.62,-0.26,12193.52,24.39,41
302,Entry long,2026-01-22 12:10,Long,25712.5,4,205700,-543.24,-0.26,1.24,217.38,0.11,-542.62,-0.26,12193.52,24.39,41
303,Exit long,2026-01-26 17:30,Long Bracket,25910.5,4,207048,234.76,0.11,1.24,235.38,0.11,-384.62,-0.19,12428.28,24.86,13
303,Entry long,2026-01-26 16:25,Long,25881,4,207048,234.76,0.11,1.24,235.38,0.11,-384.62,-0.19,12428.28,24.86,13
304,Exit short,2026-01-29 15:30,Short Bracket,26126.25,4,209252,240.76,0.12,1.24,241.38,0.12,-380.62,-0.18,12669.04,25.34,14
304,Entry short,2026-01-29 14:20,Short,26156.5,4,209252,240.76,0.12,1.24,241.38,0.12,-380.62,-0.18,12669.04,25.34,14
305,Exit short,2026-01-29 16:10,Short Bracket,25766.75,4,206372,236.76,0.11,1.24,237.38,0.12,-236.62,-0.11,12905.8,25.81,1
305,Entry short,2026-01-29 16:05,Short,25796.5,4,206372,236.76,0.11,1.24,237.38,0.12,-236.62,-0.11,12905.8,25.81,1
306,Exit long,2026-02-02 15:50,Long Bracket,25775.25,4,205962,238.76,0.12,1.24,239.38,0.12,-14.62,-0.01,13144.56,26.29,0
306,Entry long,2026-02-02 15:50,Long,25745.25,4,205962,238.76,0.12,1.24,239.38,0.12,-14.62,-0.01,13144.56,26.29,0
307,Exit long,2026-02-02 18:10,Long Bracket,25924.5,4,207162,232.76,0.11,1.24,233.38,0.11,-472.62,-0.23,13377.32,26.75,7
307,Entry long,2026-02-02 17:35,Long,25895.25,4,207162,232.76,0.11,1.24,233.38,0.11,-472.62,-0.23,13377.32,26.75,7
308,Exit long,2026-02-02 20:55,Long Bracket,25864.25,4,207456,-543.24,-0.26,1.24,135.38,0.07,-542.62,-0.26,12834.08,25.67,13
308,Entry long,2026-02-02 19:50,Long,25932,4,207456,-543.24,-0.26,1.24,135.38,0.07,-542.62,-0.26,12834.08,25.67,13
309,Exit short,2026-02-03 17:50,Short Bracket,25466.5,4,203970,236.76,0.12,1.24,237.38,0.12,-304.62,-0.15,13070.84,26.14,4
309,Entry short,2026-02-03 17:30,Short,25496.25,4,203970,236.76,0.12,1.24,237.38,0.12,-304.62,-0.15,13070.84,26.14,4
310,Exit short,2026-02-03 19:30,Short Bracket,25307,4,202692,234.76,0.12,1.24,235.38,0.12,-22.62,-0.01,13305.6,26.61,1
310,Entry short,2026-02-03 19:25,Short,25336.5,4,202692,234.76,0.12,1.24,235.38,0.12,-22.62,-0.01,13305.6,26.61,1
311,Exit short,2026-02-04 16:00,Short Bracket,25169.25,4,201570,214.76,0.11,1.24,215.38,0.11,-6.62,0.00,13520.36,27.04,0
311,Entry short,2026-02-04 16:00,Short,25196.25,4,201570,214.76,0.11,1.24,215.38,0.11,-6.62,0.00,13520.36,27.04,0
312,Exit short,2026-02-04 17:45,Short Bracket,24948.5,4,199826,236.76,0.12,1.24,237.38,0.12,-54.62,-0.03,13757.12,27.51,0
312,Entry short,2026-02-04 17:45,Short,24978.25,4,199826,236.76,0.12,1.24,237.38,0.12,-54.62,-0.03,13757.12,27.51,0
313,Exit long,2026-02-06 12:55,Long Bracket,24872.5,4,198744,234.76,0.12,1.24,235.38,0.12,-140.62,-0.07,13991.88,27.98,3
313,Entry long,2026-02-06 12:40,Long,24843,4,198744,234.76,0.12,1.24,235.38,0.12,-140.62,-0.07,13991.88,27.98,3
314,Exit short,2026-02-12 19:00,Short Bracket,24819.75,4,198792,232.76,0.12,1.24,233.38,0.12,-134.62,-0.07,14224.64,28.45,1
314,Entry short,2026-02-12 18:55,Short,24849,4,198792,232.76,0.12,1.24,233.38,0.12,-134.62,-0.07,14224.64,28.45,1
315,Exit short,2026-02-16 16:30,Short Bracket,24699.5,4,197836,238.76,0.12,1.24,239.38,0.12,-6.62,0.00,14463.4,28.93,1
315,Entry short,2026-02-16 16:25,Short,24729.5,4,197836,238.76,0.12,1.24,239.38,0.12,-6.62,0.00,14463.4,28.93,1
316,Exit short,2026-02-19 13:00,Short Bracket,24818.75,4,198786,234.76,0.12,1.24,235.38,0.12,-300.62,-0.15,14698.16,29.40,11
316,Entry short,2026-02-19 12:05,Short,24848.25,4,198786,234.76,0.12,1.24,235.38,0.12,-300.62,-0.15,14698.16,29.40,11
317,Exit short,2026-02-19 15:40,Short Bracket,24784.75,4,198510,230.76,0.12,1.24,231.38,0.12,-4.62,0.00,14928.92,29.86,0
317,Entry short,2026-02-19 15:40,Short,24813.75,4,198510,230.76,0.12,1.24,231.38,0.12,-4.62,0.00,14928.92,29.86,0
318,Exit short,2026-02-20 14:30,Short Bracket,24781.75,4,198488,232.76,0.12,1.24,233.38,0.12,-424.62,-0.21,15161.68,30.32,14
318,Entry short,2026-02-20 13:20,Short,24811,4,198488,232.76,0.12,1.24,233.38,0.12,-424.62,-0.21,15161.68,30.32,14
319,Exit short,2026-02-20 15:30,Short Bracket,24682.75,4,197704,240.76,0.12,1.24,241.38,0.12,-176.62,-0.09,15402.44,30.80,2
319,Entry short,2026-02-20 15:20,Short,24713,4,197704,240.76,0.12,1.24,241.38,0.12,-176.62,-0.09,15402.44,30.80,2
