Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
367,Exit short,2026-04-28 14:10,Short Bracket,27065,4,216752,230.76,0.11,1.24,231.38,0.11,-112.62,-0.05,21292.92,42.59,1
367,Entry short,2026-04-28 14:05,Short,27094,4,216752,230.76,0.11,1.24,231.38,0.11,-112.62,-0.05,21292.92,42.59,1
368,Exit short,2026-04-28 18:50,Short Bracket,27090.5,4,216176,-549.24,-0.25,1.24,125.38,0.06,-548.62,-0.25,20743.68,41.49,15
368,Entry short,2026-04-28 17:35,Short,27022,4,216176,-549.24,-0.25,1.24,125.38,0.06,-548.62,-0.25,20743.68,41.49,15
369,Exit short,2026-05-04 18:15,Short Bracket,27635.75,4,221322,234.76,0.11,1.24,235.38,0.11,-182.62,-0.08,20978.44,41.96,1
369,Entry short,2026-05-04 18:10,Short,27665.25,4,221322,234.76,0.11,1.24,235.38,0.11,-182.62,-0.08,20978.44,41.96,1
370,Exit long,2026-05-05 14:05,Long Bracket,27966.75,4,223488,244.76,0.11,1.24,245.38,0.11,-290.62,-0.13,21223.2,42.45,20
370,Entry long,2026-05-05 12:25,Long,27936,4,223488,244.76,0.11,1.24,245.38,0.11,-290.62,-0.13,21223.2,42.45,20
371,Exit long,2026-05-05 15:35,Long Bracket,28055.25,4,224206,234.76,0.10,1.24,235.38,0.10,-50.62,-0.02,21457.96,42.92,0
371,Entry long,2026-05-05 15:35,Long,28025.75,4,224206,234.76,0.10,1.24,235.38,0.10,-50.62,-0.02,21457.96,42.92,0
372,Exit long,2026-05-05 19:50,Long Bracket,28155.75,4,225006,238.76,0.11,1.24,239.38,0.11,-278.62,-0.12,21696.72,43.39,30
372,Entry long,2026-05-05 17:20,Long,28125.75,4,225006,238.76,0.11,1.24,239.38,0.11,-278.62,-0.12,21696.72,43.39,30
373,Exit long,2026-05-06 12:15,Long Bracket,28542.5,4,228106,232.76,0.10,1.24,233.38,0.10,-58.62,-0.03,21929.48,43.86,1
373,Entry long,2026-05-06 12:10,Long,28513.25,4,228106,232.76,0.10,1.24,233.38,0.10,-58.62,-0.03,21929.48,43.86,1
374,Exit long,2026-05-08 17:35,Long Bracket,29192,4,233300,234.76,0.10,1.24,235.38,0.10,-298.62,-0.13,22164.24,44.33,7
374,Entry long,2026-05-08 17:00,Long,29162.5,4,233300,234.76,0.10,1.24,235.38,0.10,-298.62,-0.13,22164.24,44.33,7
375,Exit long,2026-05-08 19:00,Long Bracket,29271.25,4,233932,236.76,0.10,1.24,237.38,0.10,-52.62,-0.02,22401,44.80,0
375,Entry long,2026-05-08 19:00,Long,29241.5,4,233932,236.76,0.10,1.24,237.38,0.10,-52.62,-0.02,22401,44.80,0
