Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
202,Entry long,2026-08-07 16:15,LONG,29621.75,1,59243.5,192.57,0.33,0.93,314.19,0.53,-2.31,0.00,2410.66,0.24,16
203,Exit long,2026-08-07 16:58,TP MID,29731.75,1,59408.5,54.07,0.09,0.93,54.69,0.09,-29.31,-0.05,2464.42,0.25,3
203,Entry long,2026-08-07 16:55,LONG,29704.25,1,59408.5,54.07,0.09,0.93,54.69,0.09,-29.31,-0.05,2464.42,0.25,3
204,Exit long,2026-08-07 17:42,TRAIL EXIT,29794.5,1,59408.5,179.57,0.30,0.93,301.19,0.51,-29.31,-0.05,2644.3,0.26,47
204,Entry long,2026-08-07 16:55,LONG,29704.25,1,59408.5,179.57,0.30,0.93,301.19,0.51,-29.31,-0.05,2644.3,0.26,47
205,Exit long,2026-08-10 15:49,TP MID,29823,1,59550,95.07,0.16,0.93,95.69,0.16,-16.31,-0.03,2739.06,0.27,6
205,Entry long,2026-08-10 15:43,LONG,29775,1,59550,95.07,0.16,0.93,95.69,0.16,-16.31,-0.03,2739.06,0.27,6
206,Exit long,2026-08-10 15:52,TRAIL EXIT,29776,1,59550,1.07,0.00,0.93,115.19,0.19,-16.31,-0.03,2740.44,0.27,9
206,Entry long,2026-08-10 15:43,LONG,29775,1,59550,1.07,0.00,0.93,115.19,0.19,-16.31,-0.03,2740.44,0.27,9
207,Exit long,2026-08-10 16:01,TP MID,29823,1,59592,53.07,0.09,0.93,53.69,0.09,-21.81,-0.04,2793.2,0.28,3
207,Entry long,2026-08-10 15:58,LONG,29796,1,59592,53.07,0.09,0.93,53.69,0.09,-21.81,-0.04,2793.2,0.28,3
208,Exit long,2026-08-10 16:09,POST-TP TRAIL,29874,1,59592,155.07,0.26,0.93,160.19,0.27,-21.81,-0.04,2948.58,0.29,11
208,Entry long,2026-08-10 15:58,LONG,29796,1,59592,155.07,0.26,0.93,160.19,0.27,-21.81,-0.04,2948.58,0.29,11
209,Exit short,2026-08-10 16:15,FV929 SL,29895.5,1,59761.5,-30.74,-0.05,1.24,0,0.00,-30.12,-0.05,2917.84,0.29,1
209,Entry short,2026-08-10 16:14,FV929_SHORT,29880.75,1,59761.5,-30.74,-0.05,1.24,0,0.00,-30.12,-0.05,2917.84,0.29,1
210,Exit short,2026-08-10 16:52,TP MID,29827.5,1,59732.5,76.57,0.13,0.93,77.19,0.13,-53.81,-0.09,2994.1,0.30,19
210,Entry short,2026-08-10 16:33,SHORT,29866.25,1,59732.5,76.57,0.13,0.93,77.19,0.13,-53.81,-0.09,2994.1,0.30,19
211,Exit short,2026-08-10 17:00,POST-TP TRAIL,29776.75,1,59732.5,178.07,0.30,0.93,190.19,0.32,-53.81,-0.09,3172.48,0.32,27
211,Entry short,2026-08-10 16:33,SHORT,29866.25,1,59732.5,178.07,0.30,0.93,190.19,0.32,-53.81,-0.09,3172.48,0.32,27
212,Exit short,2026-08-10 18:32,TP MID,29780,1,59590,29.07,0.05,0.93,29.69,0.05,-127.81,-0.21,3201.24,0.32,43
212,Entry short,2026-08-10 17:49,SHORT,29795,1,59590,29.07,0.05,0.93,29.69,0.05,-127.81,-0.21,3201.24,0.32,43
213,Exit short,2026-08-10 18:36,TRAIL EXIT,29794,1,59590,1.07,0.00,0.93,98.19,0.16,-127.81,-0.21,3202.62,0.32,47
213,Entry short,2026-08-10 17:49,SHORT,29795,1,59590,1.07,0.00,0.93,98.19,0.16,-127.81,-0.21,3202.62,0.32,47
214,Exit long,2026-08-11 15:28,TP MID,29845.75,1,59664.5,26.07,0.04,0.93,26.69,0.04,-32.81,-0.05,3228.38,0.32,11
214,Entry long,2026-08-11 15:17,LONG,29832.25,1,59664.5,26.07,0.04,0.93,26.69,0.04,-32.81,-0.05,3228.38,0.32,11
